,title_length,altmetric,num_times_cited,abstract_length,page_length,fig_count,ref_cnt,mean_author_citations,mean_h_index,mean_i10_index,num_authors,top20,top50,top100,other,num_insitutions,year
0,8,32,11,126,5,14,62,,,,8,0,0,0,1,3,2018
0,11,110,9,148,5,15,38,,,,12,1,1,1,1,4,2018
0,10,144,8,164,5,15,50,,,,8,0,0,0,1,2,2018
0,11,381,13,156,5,15,39,,,,27,0,0,0,1,8,2018
0,10,510,11,248,5,12,53,,,,9,0,0,0,1,10,2018
0,10,74,1,141,5,15,83,,,,8,0,0,1,1,3,2018
0,9,73,6,198,5,13,78,,,,7,0,0,0,1,6,2018
0,9,303,12,148,5,14,34,,,,7,0,0,0,1,3,2018
0,10,796,2,150,6,15,36,,,,23,0,0,1,1,21,2018
0,11,250,2,161,5,18,51,,,,9,1,1,1,1,4,2018
0,5,204,15,222,7,6,73,,,,10,1,1,1,1,5,2018
0,10,120,20,133,5,16,28,,,,2,1,1,1,1,2,2018
0,10,712,32,207,6,11,48,,,,11,0,0,1,1,2,2018
0,9,75,5,161,4,13,39,,,,6,0,1,1,1,3,2018
0,10,483,7,167,6,6,71,,,,61,0,0,0,1,40,2018
0,8,302,4,190,5,15,73,,,,8,1,1,1,1,3,2018
0,9,484,42,163,6,15,70,,,,30,0,0,0,1,12,2018
0,10,210,24,154,6,5,92,,,,72,1,1,1,1,48,2018
0,10,258,8,180,5,10,53,,,,20,0,0,1,1,15,2018
0,7,1080,8,192,7,8,74,,,,2,0,0,0,1,2,2018
0,9,102,20,156,6,16,60,,,,10,1,1,1,1,9,2018
0,9,310,26,159,5,11,29,,,,10,1,1,1,1,11,2018
0,11,135,5,150,5,9,49,,,,4,0,0,0,1,3,2018
0,12,307,9,146,4,13,66,,,,9,0,0,0,1,5,2018
0,10,213,12,144,5,16,54,,,,16,0,0,0,1,3,2018
0,8,197,12,161,5,14,45,,,,13,0,0,0,1,9,2018
0,6,23,12,222,5,9,52,,,,5,0,0,0,1,2,2018
0,9,190,16,160,5,15,46,,,,18,1,1,1,1,14,2018
0,10,1961,21,149,6,18,46,,,,35,0,0,0,1,14,2018
0,12,35,7,154,4,9,47,,,,19,0,0,1,1,9,2018
0,9,313,43,133,6,21,87,,,,48,1,1,1,1,3,2018
0,10,210,11,165,5,14,79,,,,23,0,1,1,1,15,2018
0,11,132,20,150,5,10,45,,,,19,0,0,0,1,10,2018
0,10,74,5,193,7,15,41,,,,17,1,1,1,1,7,2018
0,9,234,5,152,7,7,40,,,,13,1,1,1,1,34,2018
0,4,3334,22,152,5,11,32,,,,8,1,1,1,1,5,2018
0,7,226,12,203,5,7,49,,,,0,1,1,1,1,28,2018
0,10,362,53,231,5,5,39,,,,0,1,1,1,1,4,2018
0,10,260,4,161,5,16,51,,,,12,0,0,0,1,3,2018
0,7,200,21,159,5,12,86,,,,88,1,1,1,1,29,2018
0,7,72,6,149,6,12,54,,,,8,1,1,1,1,4,2018
0,10,272,112,175,6,4,48,,,,19,0,0,0,1,11,2018
0,8,514,28,165,5,5,64,,,,16,0,0,0,1,3,2018
0,9,2096,77,155,6,7,82,,,,23,1,1,1,1,22,2018
0,10,204,23,150,6,4,51,,,,8,0,0,0,1,3,2018
