,title_length,altmetric,num_times_cited,abstract_length,page_length,fig_count,ref_cnt,mean_author_citations,mean_h_index,mean_i10_index,num_authors,top20,top50,top100,other,num_insitutions,year
0,8,13,254,8,5,10,56,4205.0,22.0,24.5,13,1,1,1,1,5,2010
0,6,14,785,59,6,9,48,,,,47,1,1,1,1,18,2010
0,9,15,483,66,5,4,47,,,,30,0,1,1,1,14,2010
0,9,134,139,58,5,9,39,,,,19,0,1,1,1,13,2010
0,12,562,831,90,7,4,37,,,,28,1,1,1,1,14,2010
0,10,21,193,51,5,7,67,,,,2,0,0,0,1,1,2010
0,7,7,82,49,6,8,48,,,,24,0,0,0,1,4,2010
0,9,1,207,43,5,7,54,,,,16,1,1,1,1,11,2010
0,10,34,495,78,5,10,50,,,,13,0,0,0,1,4,2010
0,8,50,440,83,4,6,30,,,,10,0,1,1,1,3,2010
0,11,2,286,57,5,8,47,,,,3,0,1,1,1,3,2010
0,9,5,230,65,4,7,37,,,,14,1,1,1,1,5,2010
0,9,18,246,56,5,7,49,,,,13,1,1,1,1,2,2010
0,9,25,491,67,5,10,57,,,,16,1,1,1,1,4,2010
0,9,15,198,71,5,4,50,1279.0,10.0,10.0,10,0,0,0,1,3,2010
0,10,20,164,61,4,4,49,,,,9,0,0,0,1,3,2010
0,8,26,652,80,5,6,50,4258.67,24.0,36.33,10,1,1,1,1,5,2010
0,11,4,157,80,5,7,56,8105.0,41.5,80.5,6,1,1,1,1,2,2010
0,11,15,560,73,6,8,50,,,,15,1,1,1,1,9,2010
0,8,16,220,71,5,9,48,,,,6,0,0,1,1,3,2010
0,10,21,384,72,6,7,53,,,,13,1,1,1,1,7,2010
0,9,18,430,72,5,9,47,,,,12,1,1,1,1,4,2010
0,9,91,466,45,5,7,47,,,,8,0,0,0,1,2,2010
0,10,79,896,38,4,10,35,,,,10,0,0,0,1,3,2010
0,9,0,200,53,6,9,86,,,,5,1,1,1,1,3,2010
0,6,53,51,68,3,9,40,,,,1,0,0,0,1,1,2010
0,9,4,160,33,6,9,41,31875.0,44.0,71.0,20,0,0,0,1,1,2010
0,9,198,4271,64,12,5,50,,,,1,1,1,1,1,80,2010
0,12,4,69,79,6,5,56,16801.0,26.0,34.0,10,1,1,1,1,7,2010
0,10,11,183,73,5,9,44,,,,3,0,0,0,1,2,2010
0,13,55,107,1,3,10,18,,,,5,0,0,0,1,4,2010
0,9,1,173,61,5,9,57,14764.0,60.0,100.0,7,1,1,1,1,6,2010
0,8,1,58,74,4,6,34,16196.0,33.0,41.0,4,1,1,1,1,3,2010
0,11,41,423,63,4,4,34,3772.0,23.0,34.0,4,0,0,0,1,3,2010
0,6,22,569,69,5,8,37,14906.5,43.0,209.0,14,1,1,1,1,10,2010
0,10,13,143,69,4,10,47,1081.0,9.0,9.0,13,1,1,1,1,5,2010
0,11,12,54,65,5,6,63,596.0,9.0,9.5,5,0,1,1,1,3,2010
0,9,135,2353,79,6,9,29,21935.5,60.0,145.25,11,0,1,1,1,9,2010
0,7,3,136,77,4,10,31,7215.0,35.0,54.0,2,0,0,0,1,1,2010
0,9,16,282,85,4,9,41,1807.5,15.0,16.5,7,0,0,0,1,1,2010
0,5,106,1683,64,6,6,42,,,,25,0,0,1,1,9,2010
0,10,91,292,61,5,5,37,,,,22,1,1,1,1,15,2010
0,9,32,553,69,3,10,19,,,,12,1,1,1,1,4,2010
0,10,36,486,75,5,5,64,,,,13,0,0,0,1,4,2010
0,8,18,226,69,4,9,30,,,,3,1,1,1,1,2,2010
0,10,52,1500,58,6,7,27,,,,1,1,1,1,1,28,2010
0,12,4,126,84,4,4,48,,,,8,0,0,0,1,4,2010
0,11,23,571,71,6,6,33,,,,23,0,1,1,1,7,2010
0,7,0,285,75,5,6,54,,,,2,0,0,0,1,1,2010
0,11,7,91,65,5,4,58,,,,4,0,0,0,1,1,2010
0,11,28,220,67,4,7,50,,,,4,0,0,0,1,1,2010
0,6,16,312,73,5,5,52,,,,3,1,1,1,1,2,2010
0,8,5,197,74,5,9,38,,,,14,0,0,1,1,5,2010
0,9,19,985,69,5,6,49,,,,13,1,1,1,1,4,2010
0,9,27,2300,74,5,8,34,,,,4,1,1,1,1,4,2010
0,11,33,1688,59,5,10,43,,,,10,1,1,1,1,6,2010
0,11,17,441,76,5,5,48,,,,7,0,1,1,1,2,2010
