,title_length,altmetric,num_times_cited,abstract_length,page_length,fig_count,ref_cnt,mean_author_citations,mean_h_index,mean_i10_index,num_authors,top20,top50,top100,other,num_insitutions,year
0,19,744,87,14,6,4,33,,,,19,0.0,0.0,0.0,1,7,2017
0,9,34,11,24,7,5,47,,,,5,1.0,1.0,1.0,1,2,2017
0,8,144,41,39,5,4,49,,,,6,1.0,1.0,1.0,1,2,2017
0,6,229,24,33,5,6,49,,,,8,0.0,0.0,0.0,1,3,2017
0,10,21,39,29,5,7,53,,,,8,0.0,0.0,0.0,1,2,2017
0,11,150,60,31,5,5,31,,,,24,0.0,0.0,0.0,1,13,2017
0,10,424,59,34,5,6,52,,,,28,0.0,0.0,1.0,1,11,2017
0,10,1613,49,29,5,10,53,,,,2,0.0,0.0,0.0,1,1,2017
0,8,36,46,17,4,5,58,,,,6,1.0,1.0,1.0,1,4,2017
0,6,192,48,18,6,10,53,,,,12,0.0,0.0,0.0,1,3,2017
0,8,112,46,22,4,5,57,,,,5,0.0,0.0,0.0,1,2,2017
0,8,400,211,28,5,10,54,,,,12,1.0,1.0,1.0,1,4,2017
0,7,49,30,37,5,5,45,,,,16,1.0,1.0,1.0,1,5,2017
0,8,64,14,18,5,10,53,,,,10,0.0,0.0,1.0,1,6,2017
0,8,763,118,33,4,9,77,,,,39,1.0,1.0,1.0,1,24,2017
0,6,74,22,32,5,4,62,,,,6,1.0,1.0,1.0,1,6,2017
0,10,54,38,35,5,8,70,,,,5,0.0,0.0,0.0,1,5,2017
0,12,133,13,34,5,6,63,,,,5,0.0,0.0,0.0,1,5,2017
0,7,116,47,44,5,6,75,,,,23,0.0,0.0,1.0,1,11,2017
0,7,366,25,17,5,4,93,,,,5,0.0,0.0,0.0,1,4,2017
0,9,98,11,26,5,5,50,,,,10,0.0,0.0,0.0,1,7,2017
0,10,2906,140,22,5,6,41,,,,26,0.0,1.0,1.0,1,10,2017
0,8,179,120,29,6,5,67,,,,21,0.0,0.0,0.0,1,12,2017
0,7,70,44,11,5,10,41,,,,9,0.0,0.0,0.0,1,4,2017
0,8,142,11,26,5,8,68,,,,11,0.0,0.0,0.0,1,5,2017
0,8,840,182,33,6,4,82,,,,304,1.0,1.0,1.0,1,191,2017
0,11,345,52,34,4,9,115,,,,32,0.0,0.0,1.0,1,29,2017
0,9,149,25,28,5,5,93,,,,7,0.0,0.0,0.0,1,2,2017
0,9,60,19,28,5,8,62,,,,8,0.0,0.0,0.0,1,3,2017
0,24,1190,374,27,7,9,43,,,,7,0.0,0.0,0.0,1,3,2017
0,10,226,73,33,5,9,47,,,,10,0.0,0.0,0.0,1,1,2017
0,9,103,37,27,6,5,57,,,,7,0.0,0.0,0.0,1,4,2017
0,9,505,25,26,5,7,36,,,,12,0.0,0.0,0.0,1,5,2017
0,9,158,53,29,5,7,48,,,,43,0.0,0.0,0.0,1,6,2017
0,8,596,77,25,5,4,36,,,,5,1.0,1.0,1.0,1,9,2017
0,8,2508,506,32,5,6,54,,,,17,0.0,0.0,0.0,1,1,2017
0,8,573,445,25,9,7,74,,,,1,1.0,1.0,1.0,1,159,2017
0,10,125,16,28,4,4,41,,,,17,1.0,1.0,1.0,1,6,2017
0,9,47,33,23,4,10,59,,,,4,1.0,1.0,1.0,1,4,2017
0,6,558,27,27,5,7,55,,,,20,1.0,1.0,1.0,1,7,2017
0,9,59,16,34,4,4,44,,,,8,0.0,1.0,1.0,1,4,2017
0,9,185,53,33,5,6,45,,,,28,1.0,1.0,1.0,1,13,2017
0,10,70,121,34,5,8,62,,,,11,1.0,1.0,1.0,1,9,2017
0,7,119,22,35,6,5,55,,,,6,0.0,0.0,0.0,1,3,2017
0,10,461,118,17,5,10,68,,,,15,0.0,0.0,0.0,1,5,2017
0,10,885,77,22,6,4,50,,,,18,0.0,0.0,0.0,1,10,2017
0,8,79,110,36,5,9,50,,,,23,0.0,0.0,0.0,1,6,2017
0,9,234,45,35,5,7,43,,,,15,1.0,1.0,1.0,1,6,2017
0,8,32,11,23,5,9,44,,,,11,1.0,1.0,1.0,1,7,2017
0,6,66,48,33,4,8,64,,,,6,0.0,0.0,0.0,1,4,2017
