,title_length,altmetric,num_times_cited,abstract_length,page_length,fig_count,ref_cnt,mean_author_citations,mean_h_index,mean_i10_index,num_authors,top20,top50,top100,other,num_insitutions,year
0,9,43,53,37,5,5,61,,,,14,0,0,0,1,4,2014
0,10,148,192,64,4,4,53,208378.0,227.0,1335.0,27,1,1,1,1,10,2014
0,7,160,151,35,5,7,44,,,,5,1,1,1,1,1,2014
0,9,88,101,43,5,5,45,,,,6,0,0,0,1,2,2014
0,8,11,183,47,5,8,62,,,,9,0,0,0,1,4,2014
0,10,42,217,52,5,8,66,,,,12,0,0,0,1,5,2014
0,7,97,112,39,8,4,57,,,,32,0,0,0,1,22,2014
0,8,182,782,36,5,4,51,,,,12,1,1,1,1,7,2014
0,8,135,77,38,5,4,35,,,,21,0,0,0,1,16,2014
0,6,303,81,36,5,9,31,,,,6,0,1,1,1,3,2014
0,7,304,69,59,5,4,54,,,,6,0,0,0,1,2,2014
0,7,80,165,46,5,10,69,,,,14,1,1,1,1,7,2014
0,10,405,173,41,5,8,49,,,,42,0,0,0,1,21,2014
0,8,29,52,42,5,4,55,,,,6,0,0,0,1,4,2014
0,6,70,190,40,5,8,55,,,,9,1,1,1,1,6,2014
0,9,30,167,45,4,10,67,,,,4,0,0,0,1,5,2014
0,10,271,503,66,9,9,73,,,,138,1,1,1,1,42,2014
0,11,191,199,38,5,10,56,,,,4,0,0,0,1,2,2014
0,9,139,117,70,4,4,30,,,,26,1,1,1,1,10,2014
0,12,46,111,47,5,5,58,,,,6,1,1,1,1,5,2014
0,10,62,177,39,5,6,53,,,,11,0,0,0,1,2,2014
0,8,120,113,25,5,5,39,,,,29,0,1,1,1,10,2014
0,11,529,119,61,5,4,64,273.0,4.0,4.0,8,0,0,0,1,4,2014
0,8,89,176,60,5,6,66,,,,5,0,0,0,1,1,2014
0,8,861,678,32,4,6,61,,,,2,0,0,0,1,2,2014
0,7,179,100,37,4,8,51,,,,23,1,1,1,1,3,2014
0,10,355,42,54,5,9,46,,,,16,0,0,1,1,11,2014
0,9,218,60,44,4,10,39,,,,4,0,1,1,1,3,2014
0,10,34,90,61,4,8,61,,,,7,0,0,0,1,1,2014
0,11,313,728,71,5,4,49,,,,47,1,1,1,1,14,2014
0,8,419,835,50,6,10,47,,,,95,1,1,1,1,59,2014
0,10,194,639,45,6,9,67,,,,21,1,1,1,1,12,2014
0,11,89,122,47,5,4,53,,,,3,0,0,0,1,2,2014
0,11,19,93,49,5,4,61,,,,3,0,0,0,1,1,2014
0,10,954,362,74,4,7,34,,,,28,1,1,1,1,21,2014
0,6,74,121,50,5,4,40,,,,13,1,1,1,1,11,2014
0,6,55,96,65,5,4,49,,,,10,0,0,1,1,3,2014
0,9,201,388,52,6,6,125,,,,27,0,0,0,1,9,2014
0,5,137,305,68,5,8,33,,,,9,1,1,1,1,7,2014
0,10,65,273,49,5,4,39,,,,35,0,0,0,1,3,2014
0,9,472,86,65,4,7,73,,,,10,1,1,1,1,9,2014
0,4,31,117,58,4,7,54,,,,14,1,1,1,1,7,2014
0,9,25,60,24,4,8,46,,,,5,1,1,1,1,2,2014
0,8,39,112,50,7,10,48,,,,3,0,0,0,1,1,2014
0,7,91,102,46,4,5,35,,,,10,0,0,0,1,5,2014
0,10,4487,533,64,5,8,40,,,,17,0,0,0,1,9,2014
0,8,144,149,36,5,8,49,,,,18,0,1,1,1,16,2014
0,8,78,141,40,5,9,50,,,,10,0,0,0,1,2,2014
0,10,280,136,59,6,9,44,,,,93,1,1,1,1,42,2014
0,10,404,54,43,5,9,44,,,,5,0,0,0,1,5,2014
0,9,27,171,52,5,6,83,,,,6,0,0,0,1,2,2014
0,6,21,205,43,4,10,62,,,,3,0,0,0,1,2,2014
0,10,290,378,48,6,6,39,,,,75,1,1,1,1,27,2014
0,11,1136,505,50,6,6,29,,,,26,1,1,1,1,9,2014
0,7,532,79,38,4,10,36,,,,3,0,0,0,1,2,2014
0,10,371,141,28,3,4,41,,,,92,1,1,1,1,24,2014
0,10,66,46,52,5,8,51,,,,18,1,1,1,1,6,2014
0,12,104,167,47,5,5,49,,,,3,0,0,0,1,1,2014
0,8,107,135,39,5,9,65,,,,26,0,0,0,1,9,2014
0,9,81,513,26,5,10,39,,,,8,0,0,0,1,4,2014
0,8,85,211,56,5,8,75,,,,15,0,0,0,1,9,2014
0,8,75,118,44,6,6,52,,,,8,0,0,0,1,3,2014
0,8,106,234,45,4,8,29,,,,6,1,1,1,1,8,2014
0,11,125,419,56,5,10,52,,,,16,0,0,1,1,7,2014
0,8,71,47,41,4,10,41,,,,12,1,1,1,1,10,2014
0,8,30,197,31,5,6,56,,,,22,0,0,1,1,13,2014
0,9,132,484,10,5,7,55,,,,27,0,0,0,1,5,2014
0,6,212,1742,35,7,8,40,,,,1,1,1,1,1,55,2014
0,7,1071,2734,62,6,5,49,,,,302,1,1,1,1,206,2014
0,8,135,500,45,5,10,80,,,,24,1,1,1,1,37,2014
0,8,90,97,53,5,9,68,,,,5,0,0,0,1,2,2014
0,13,15,32,47,4,5,33,,,,15,1,1,1,1,7,2014
0,9,99,106,89,4,10,39,,,,4,0,1,1,1,6,2014
0,7,20,84,37,4,8,71,,,,8,0,0,0,1,3,2014
0,11,85,218,50,4,10,43,,,,21,0,0,0,1,6,2014
0,6,11,52,14,5,7,64,,,,6,1,1,1,1,2,2014
0,14,93,64,65,4,10,46,,,,8,0,0,1,1,4,2014
0,6,145,1697,38,7,8,42,,,,1,1,1,1,1,53,2014
0,10,14,242,46,6,9,50,,,,38,1,1,1,1,16,2014
0,11,35,214,34,5,9,50,,,,13,0,0,0,1,1,2014
0,10,18,56,89,4,8,33,,,,3,0,0,0,1,3,2014
0,10,64,117,56,6,4,43,,,,9,0,0,0,1,4,2014
0,9,216,189,94,6,10,43,,,,26,1,1,1,1,8,2014
0,5,32,175,47,4,10,59,,,,11,0,0,0,1,4,2014
