,title_length,altmetric,num_times_cited,abstract_length,page_length,fig_count,ref_cnt,mean_author_citations,mean_h_index,mean_i10_index,num_authors,top20,top50,top100,other,num_insitutions,year
0,7,31,125,57,5,10,39,,,,3,0.0,0.0,0.0,1,1,2013
0,10,126,121,63,4,4,54,,,,9,0.0,0.0,0.0,1,3,2013
0,11,499,452,54,5,9,68,,,,11,1.0,1.0,1.0,1,3,2013
0,11,134,273,51,5,9,42,,,,32,0.0,0.0,0.0,1,10,2013
0,11,63,88,47,6,8,39,,,,32,1.0,1.0,1.0,1,9,2013
0,8,161,744,38,5,4,61,,,,30,0.0,0.0,0.0,1,17,2013
0,11,1544,777,52,6,7,46,,,,45,1.0,1.0,1.0,1,17,2013
0,9,42,121,40,4,5,28,,,,4,0.0,0.0,0.0,1,3,2013
0,11,11,255,74,4,8,50,,,,20,0.0,0.0,0.0,1,4,2013
0,7,10,258,74,4,6,50,,,,35,0.0,1.0,1.0,1,6,2013
0,8,509,300,47,4,10,41,845.0,13.0,15.0,14,1.0,1.0,1.0,1,13,2013
0,8,92,470,60,5,5,55,,,,4,1.0,1.0,1.0,1,2,2013
0,10,152,800,46,5,9,56,,,,4,1.0,1.0,1.0,1,2,2013
0,6,135,205,40,5,5,54,,,,7,0.0,0.0,1.0,1,2,2013
0,9,11,68,50,5,7,62,,,,5,1.0,1.0,1.0,1,2,2013
0,10,11,116,54,4,10,45,,,,2,0.0,0.0,0.0,1,1,2013
0,6,191,175,47,5,7,46,,,,40,1.0,1.0,1.0,1,16,2013
0,10,53,154,31,5,8,42,,,,8,0.0,1.0,1.0,1,2,2013
0,9,97,347,47,6,10,38,,,,12,1.0,1.0,1.0,1,6,2013
0,7,97,656,45,4,5,45,,,,15,1.0,1.0,1.0,1,13,2013
0,9,24,435,71,5,6,47,,,,18,0.0,0.0,0.0,1,8,2013
0,7,38,94,60,5,10,50,8123.0,32.0,49.0,4,1.0,1.0,1.0,1,2,2013
0,10,225,257,46,5,10,50,,,,10,0.0,0.0,1.0,1,4,2013
0,5,65,168,37,5,7,61,,,,9,0.0,0.0,0.0,1,4,2013
0,10,156,339,58,4,8,64,,,,11,0.0,0.0,1.0,1,3,2013
0,11,39,262,57,5,6,35,,,,12,0.0,0.0,0.0,1,7,2013
0,8,150,366,68,6,7,48,,,,4,1.0,1.0,1.0,1,3,2013
0,12,217,368,54,4,8,38,,,,26,1.0,1.0,1.0,1,9,2013
0,13,76,247,62,6,10,42,,,,17,0.0,0.0,0.0,1,7,2013
0,7,110,85,55,5,10,55,,,,9,0.0,0.0,0.0,1,4,2013
0,9,76,165,39,5,5,55,,,,16,0.0,1.0,1.0,1,8,2013
0,7,55,96,29,5,7,63,,,,5,0.0,0.0,0.0,1,1,2013
0,9,212,1619,60,6,10,38,,,,19,0.0,1.0,1.0,1,6,2013
0,10,7,67,42,5,4,38,,,,3,0.0,0.0,0.0,1,1,2013
0,10,69,148,51,5,10,39,3564.0,26.0,42.0,7,1.0,1.0,1.0,1,6,2013
0,12,53,86,49,4,5,48,330.0,6.0,4.0,6,0.0,0.0,0.0,1,5,2013
0,9,967,267,46,4,8,46,1219.0,9.0,8.0,14,0.0,0.0,0.0,1,5,2013
0,9,236,207,40,5,9,54,,,,15,1.0,1.0,1.0,1,5,2013
0,6,105,247,29,5,6,64,,,,18,1.0,1.0,1.0,1,11,2013
0,7,29,497,49,6,7,48,,,,13,0.0,1.0,1.0,1,7,2013
0,11,39,183,60,5,5,49,,,,3,0.0,0.0,0.0,1,1,2013
0,6,2,155,36,6,7,30,,,,10,0.0,1.0,1.0,1,5,2013
0,10,50,147,25,5,4,50,,,,5,0.0,0.0,0.0,1,2,2013
0,10,291,76,37,5,7,49,,,,7,1.0,1.0,1.0,1,4,2013
0,10,544,27,36,5,6,47,,,,2,0.0,0.0,0.0,1,3,2013
0,8,223,539,43,5,6,32,,,,9,0.0,0.0,0.0,1,4,2013
0,8,383,126,73,5,4,26,,,,11,0.0,0.0,0.0,1,3,2013
0,2,76,112,46,4,6,34,,,,2,0.0,0.0,0.0,1,3,2013
0,12,40,171,41,4,4,59,1880.0,12.0,16.0,7,0.0,0.0,0.0,1,2,2013
0,8,200,320,31,5,6,37,,,,26,0.0,0.0,0.0,1,6,2013
0,7,121,47,44,5,8,42,,,,2,0.0,0.0,0.0,1,1,2013
0,9,162,748,57,5,4,34,,,,58,0.0,0.0,0.0,1,23,2013
0,8,120,294,28,5,5,61,,,,3,0.0,0.0,0.0,1,2,2013
0,11,245,341,63,5,7,47,,,,4,0.0,0.0,0.0,1,1,2013
0,11,479,182,40,5,6,42,138.0,7.0,7.0,13,0.0,0.0,0.0,1,8,2013
0,9,56,49,58,4,9,39,,,,14,0.0,0.0,0.0,1,7,2013
0,9,108,235,42,4,7,39,,,,10,1.0,1.0,1.0,1,7,2013
0,9,42,209,68,5,6,60,2912.0,24.0,36.0,8,0.0,0.0,1.0,1,4,2013
0,9,524,1307,59,5,8,57,,,,83,0.0,0.0,0.0,1,40,2013
0,8,1470,1186,41,6,10,53,,,,10,0.0,0.0,0.0,1,4,2013
0,9,207,162,32,4,7,48,,,,13,0.0,0.0,0.0,1,6,2013
0,7,63,62,60,5,4,44,,,,10,0.0,0.0,0.0,1,3,2013
0,9,213,249,52,5,4,53,,,,14,1.0,1.0,1.0,1,7,2013
0,7,173,224,38,4,10,51,,,,5,0.0,0.0,0.0,1,3,2013
0,7,644,2859,58,6,9,64,,,,74,0.0,0.0,1.0,1,51,2013
0,10,43,86,57,5,9,43,,,,7,0.0,0.0,0.0,1,1,2013
0,9,239,84,52,4,6,36,,,,4,0.0,0.0,0.0,1,3,2013
0,10,67,144,65,5,7,45,,,,10,0.0,0.0,0.0,1,6,2013
0,9,118,302,42,6,7,52,248.0,6.0,6.0,24,0.0,0.0,0.0,1,2,2013
0,11,118,364,35,6,7,50,,,,6,0.0,0.0,0.0,1,2,2013
0,9,189,100,45,5,10,57,,,,6,1.0,1.0,1.0,1,3,2013
0,10,10,95,52,4,6,50,,,,2,1.0,1.0,1.0,1,2,2013
0,11,16,150,26,4,8,32,,,,7,1.0,1.0,1.0,1,2,2013
0,8,56,122,32,5,9,46,,,,13,0.0,0.0,0.0,1,5,2013
0,6,23,98,44,4,9,49,,,,7,0.0,0.0,0.0,1,1,2013
0,6,657,156,55,4,10,35,,,,18,0.0,0.0,0.0,1,3,2013
0,9,94,243,29,5,7,58,,,,16,1.0,1.0,1.0,1,5,2013
0,7,173,1774,39,5,7,63,,,,13,0.0,0.0,0.0,1,3,2013
0,9,112,268,51,5,9,55,,,,9,0.0,0.0,0.0,1,1,2013
0,11,407,840,53,6,5,50,,,,22,0.0,0.0,0.0,1,11,2013
0,9,59,140,70,5,5,29,,,,4,0.0,0.0,0.0,1,1,2013
0,11,23,136,31,5,6,40,,,,16,0.0,1.0,1.0,1,8,2013
0,9,88,553,40,5,9,47,,,,35,0.0,0.0,1.0,1,10,2013
0,7,83,205,49,5,5,46,,,,45,0.0,0.0,1.0,1,14,2013
0,9,118,1124,64,6,5,33,,,,1,0.0,1.0,1.0,1,60,2013
0,9,63,109,52,6,6,48,,,,9,0.0,0.0,1.0,1,2,2013
0,8,65,76,38,6,9,47,,,,2,0.0,0.0,1.0,1,3,2013
0,7,93,123,39,4,8,19,,,,5,1.0,1.0,1.0,1,1,2013
0,12,14,286,41,4,8,40,,,,11,0.0,0.0,0.0,1,4,2013
0,7,348,134,54,4,10,29,,,,6,0.0,0.0,0.0,1,2,2013
0,8,13,135,32,7,8,59,,,,2,0.0,0.0,0.0,1,2,2013
0,9,556,96,67,4,9,32,,,,7,0.0,0.0,0.0,1,6,2013
0,8,45,203,53,5,5,42,,,,8,0.0,0.0,0.0,1,3,2013
0,11,57,70,24,6,10,49,,,,22,0.0,1.0,1.0,1,8,2013
0,9,26,124,39,4,6,35,,,,2,0.0,0.0,0.0,1,2,2013
0,12,109,100,38,4,5,25,,,,6,0.0,0.0,0.0,1,2,2013
0,7,23,108,43,6,4,49,,,,15,0.0,0.0,0.0,1,4,2013
0,9,285,610,49,5,7,48,,,,56,0.0,0.0,0.0,1,23,2013
0,8,89,408,31,6,10,52,,,,8,0.0,0.0,0.0,1,4,2013
0,9,77,386,58,5,10,21,,,,7,1.0,1.0,1.0,1,6,2013
0,8,179,144,40,5,5,50,,,,53,0.0,1.0,1.0,1,19,2013
0,9,95,300,52,4,4,61,,,,2,0.0,1.0,1.0,1,1,2013
0,9,33,198,51,4,4,44,,,,7,1.0,1.0,1.0,1,3,2013
0,6,274,1467,60,6,9,40,,,,2,1.0,1.0,1.0,1,70,2013
0,11,48,287,53,5,7,48,,,,10,1.0,1.0,1.0,1,2,2013
0,10,371,357,55,5,4,44,,,,9,0.0,1.0,1.0,1,3,2013
0,6,30,354,36,6,9,53,,,,6,0.0,0.0,0.0,1,2,2013
0,8,39,226,41,5,6,71,,,,7,0.0,0.0,0.0,1,4,2013
0,9,30,112,53,5,7,56,,,,7,0.0,0.0,0.0,1,5,2013
0,10,29,316,48,4,5,28,,,,2,0.0,0.0,0.0,1,2,2013
0,5,57,113,57,4,8,34,948.0,12.0,13.0,3,1.0,1.0,1.0,1,3,2013
0,9,274,392,38,5,9,47,,,,2,0.0,0.0,0.0,1,1,2013
0,7,15,47,33,5,9,41,,,,3,0.0,0.0,0.0,1,1,2013
0,12,9,39,51,5,8,33,,,,7,0.0,1.0,1.0,1,4,2013
0,9,692,341,55,5,10,41,,,,91,1.0,1.0,1.0,1,40,2013
0,8,825,790,58,5,6,46,,,,16,1.0,1.0,1.0,1,4,2013
0,6,54,57,61,5,4,65,,,,10,1.0,1.0,1.0,1,4,2013
0,7,112,147,36,6,5,87,,,,6,1.0,1.0,1.0,1,6,2013
0,9,58,122,52,6,7,48,,,,2,0.0,0.0,0.0,1,2,2013
0,10,218,539,39,7,10,68,,,,77,1.0,1.0,1.0,1,12,2013
0,8,8,224,21,5,5,42,,,,6,0.0,0.0,0.0,1,2,2013
0,11,174,384,37,5,5,35,,,,9,0.0,0.0,0.0,1,3,2013
0,9,18,96,45,4,7,40,,,,8,0.0,1.0,1.0,1,5,2013
0,3,691,353,31,5,9,47,,,,7,0.0,1.0,1.0,1,3,2013
0,10,218,318,51,6,6,44,,,,74,,,,1,24,2013
0,8,19,80,38,6,7,27,,,,24,0.0,0.0,0.0,1,12,2013
0,8,7,97,20,4,9,34,,,,4,0.0,0.0,0.0,1,1,2013
0,5,73,265,37,5,8,42,,,,11,1.0,1.0,1.0,1,5,2013
0,7,158,328,32,7,8,67,,,,23,1.0,1.0,1.0,1,7,2013
0,13,43,572,47,6,10,37,,,,37,0.0,1.0,1.0,1,17,2013
0,9,29,147,31,5,8,63,,,,4,1.0,1.0,1.0,1,4,2013
0,12,171,1750,22,5,10,71,,,,16,0.0,0.0,0.0,1,4,2013
0,8,14,374,64,4,8,36,,,,7,0.0,0.0,0.0,1,1,2013
