,title_length,altmetric,num_times_cited,abstract_length,page_length,fig_count,ref_cnt,mean_author_citations,mean_h_index,mean_i10_index,num_authors,top20,top50,top100,other,num_insitutions,year
0,7,337,207,36,4,10,20,1142.0,17.0,24.0,6,1,1,1,1,4,2012
0,10,12,150,51,5,6,38,,,,2,1,1,1,1,1,2012
0,4,52,465,21,4,5,36,,,,34,0,0,0,1,14,2012
0,9,22,94,29,4,4,26,,,,62,0,1,1,1,21,2012
0,7,50,417,30,5,5,49,,,,50,0,0,0,1,19,2012
0,6,200,1067,37,6,6,17,,,,249,1,1,1,1,80,2012
0,10,11,108,18,5,10,48,4286.4,26.6,47.8,8,1,1,1,1,3,2012
0,9,57,351,32,6,6,42,,,,10,0,0,0,1,3,2012
0,9,515,3656,51,7,4,27,,,,249,1,1,1,1,79,2012
0,9,70,593,42,7,7,45,15157.0,29.0,32.0,59,1,1,1,1,24,2012
0,10,56,437,45,6,8,52,,,,12,1,1,1,1,4,2012
0,10,40,190,31,4,4,34,,,,4,1,1,1,1,2,2012
0,10,8,208,16,5,4,49,,,,4,0,1,1,1,3,2012
0,5,85,376,5,5,10,39,,,,7,1,1,1,1,9,2012
0,8,15,94,25,5,9,54,,,,5,0,0,0,1,2,2012
0,9,9,121,46,4,6,36,,,,3,1,1,1,1,4,2012
0,11,4,102,39,5,10,44,,,,5,1,1,1,1,3,2012
0,12,10,167,64,5,4,48,,,,15,1,1,1,1,6,2012
0,13,36,287,23,5,10,31,611.0,3.0,3.0,16,0,0,1,1,2,2012
0,7,13,178,37,6,8,64,,,,4,1,1,1,1,3,2012
0,13,34,349,31,4,8,29,,,,11,0,0,0,1,5,2012
0,7,128,387,21,5,10,69,,,,19,0,1,1,1,8,2012
0,12,26,62,51,4,9,31,,,,3,0,1,1,1,3,2012
0,9,72,633,36,5,7,41,,,,13,1,1,1,1,3,2012
0,8,77,269,44,6,4,51,,,,7,1,1,1,1,3,2012
0,8,363,2438,41,5,5,37,,,,21,0,1,1,1,12,2012
0,7,33,237,40,5,10,53,3169.0,26.5,40.5,21,0,0,0,1,8,2012
0,9,14,365,26,5,5,35,,,,19,0,0,0,1,3,2012
0,12,51,903,31,5,5,60,,,,12,0,0,0,1,4,2012
0,10,19,237,44,5,4,57,,,,9,0,0,0,1,2,2012
0,12,19,270,28,5,4,59,,,,2,0,0,1,1,2,2012
0,6,31,129,24,5,7,27,,,,2,0,0,0,1,1,2012
0,10,168,729,35,5,8,40,,,,9,1,1,1,1,6,2012
0,4,22,246,23,5,9,46,,,,6,0,0,0,1,8,2012
0,12,310,2050,33,6,5,29,,,,32,0,0,1,1,25,2012
0,10,103,408,32,5,6,37,,,,10,0,0,0,1,1,2012
0,9,80,821,45,6,5,46,,,,34,1,1,1,1,9,2012
0,12,442,464,44,5,6,51,,,,9,1,1,1,1,8,2012
0,11,12,265,43,5,7,46,,,,8,0,0,0,1,4,2012
0,10,65,295,37,6,10,28,,,,15,1,1,1,1,5,2012
0,11,101,1105,24,5,4,38,,,,54,0,0,0,1,8,2012
0,11,68,277,43,5,7,49,,,,9,0,0,0,1,5,2012
0,11,188,105,30,4,8,26,,,,6,1,1,1,1,5,2012
0,12,11,544,36,5,10,55,,,,7,1,1,1,1,5,2012
0,11,79,720,23,5,9,44,,,,10,0,0,0,1,5,2012
0,10,80,537,26,5,7,49,,,,16,1,1,1,1,4,2012
0,6,9,172,27,5,4,61,,,,5,0,0,0,1,1,2012
0,7,36,636,22,6,7,46,,,,3,1,1,1,1,2,2012
0,9,21,99,21,6,10,64,,,,3,0,0,0,1,1,2012
0,10,37,343,25,6,8,49,,,,3,1,1,1,1,4,2012
0,10,31,149,34,5,10,50,,,,14,0,0,0,1,7,2012
0,8,18,134,18,4,6,42,,,,2,0,0,0,1,1,2012
0,8,51,129,47,5,10,50,,,,6,0,0,0,1,5,2012
0,9,20,126,31,5,4,49,,,,7,0,0,0,1,5,2012
0,9,517,379,39,6,6,44,,,,71,1,1,1,1,20,2012
0,7,6,185,28,5,6,40,41224.0,73.0,647.0,12,0,0,0,1,4,2012
0,10,2,82,29,4,8,47,,,,3,0,0,0,1,1,2012
0,10,53,296,26,4,9,36,,,,5,1,1,1,1,3,2012
0,8,3,163,22,5,6,40,,,,7,0,0,0,1,2,2012
0,10,25,234,38,5,4,47,,,,4,0,0,0,1,1,2012
0,11,23,596,29,6,5,41,,,,19,1,1,1,1,6,2012
0,11,3,132,19,5,5,57,11168.0,29.0,33.0,15,0,0,0,1,5,2012
0,6,14,89,17,5,6,40,,,,12,0,0,0,1,3,2012
0,9,23,356,25,5,7,35,,,,12,1,1,1,1,3,2012
0,8,54,199,50,5,6,42,,,,10,0,0,0,1,6,2012
0,11,91,235,44,5,6,47,,,,6,0,0,0,1,3,2012
0,8,28,132,26,5,6,52,,,,15,0,1,1,1,8,2012
0,6,50,691,20,5,4,41,,,,52,0,1,1,1,9,2012
0,11,4,134,44,5,5,28,,,,19,0,0,0,1,8,2012
0,8,41,1040,23,6,10,41,,,,15,0,0,0,1,9,2012
0,8,14,111,33,5,9,43,,,,2,1,1,1,1,3,2012
0,8,25,807,21,5,7,43,,,,4,1,1,1,1,3,2012
0,8,90,282,21,5,6,45,,,,15,1,1,1,1,6,2012
0,8,14,260,23,6,9,50,,,,2,0,0,0,1,1,2012
0,9,37,516,25,5,4,49,,,,10,0,0,0,1,5,2012
0,9,41,245,23,5,8,32,,,,36,0,0,0,1,14,2012
0,12,415,1652,38,5,8,26,,,,18,1,1,1,1,7,2012
0,10,31,790,23,6,9,43,,,,69,1,1,1,1,22,2012
0,8,27,351,10,5,5,56,,,,6,1,1,1,1,4,2012
0,9,7,198,38,5,4,50,,,,4,0,0,0,1,1,2012
0,11,9,284,23,5,8,61,,,,2,0,0,1,1,2,2012
