,title_length,altmetric,num_times_cited,abstract_length,page_length,fig_count,ref_cnt,mean_author_citations,mean_h_index,mean_i10_index,num_authors,top20,top50,top100,other,num_insitutions,year
0,8,72,187,25,5,4,49,,,,6,1.0,1.0,1.0,1,4,2011
0,9,7,128,30,5,8,48,,,,9,0.0,0.0,1.0,1,3,2011
0,10,26,679,17,5,8,50,,,,12,0.0,0.0,0.0,1,5,2011
0,11,41,336,12,4,5,47,,,,7,0.0,0.0,0.0,1,3,2011
0,8,28,234,29,7,5,25,,,,163,,,,1,102,2011
0,9,46,421,24,5,8,28,,,,55,,,,1,33,2011
0,11,20,539,35,7,7,67,,,,47,1.0,1.0,1.0,1,14,2011
0,10,51,346,35,5,8,44,,,,3,0.0,0.0,0.0,1,1,2011
0,6,27,59,30,5,9,53,577.0,8.0,8.0,7,1.0,1.0,1.0,1,4,2011
0,9,39,149,32,5,7,49,,,,10,0.0,1.0,1.0,1,6,2011
0,7,169,259,15,5,9,33,,,,13,0.0,0.0,0.0,1,5,2011
0,10,107,303,10,5,8,37,,,,55,1.0,1.0,1.0,1,43,2011
0,7,102,134,7,6,9,49,,,,16,1.0,1.0,1.0,1,9,2011
0,12,13,84,12,5,4,62,,,,6,0.0,0.0,0.0,1,2,2011
0,6,106,778,6,6,6,50,,,,26,0.0,0.0,0.0,1,10,2011
0,8,142,327,8,6,5,45,,,,9,1.0,1.0,1.0,1,2,2011
0,10,3,82,10,5,8,62,,,,3,0.0,0.0,0.0,1,1,2011
0,9,49,536,9,5,10,58,,,,18,1.0,1.0,1.0,1,9,2011
0,10,68,555,10,6,7,50,15116.0,54.0,119.0,89,1.0,1.0,1.0,1,23,2011
0,8,14,157,8,6,5,43,,,,9,0.0,0.0,0.0,1,6,2011
0,10,25,446,10,4,6,37,,,,9,0.0,0.0,0.0,1,3,2011
0,9,181,162,9,5,8,38,,,,16,0.0,0.0,1.0,1,6,2011
0,11,11,279,11,5,5,42,,,,15,0.0,0.0,0.0,1,7,2011
0,10,27,687,10,6,4,32,,,,19,1.0,1.0,1.0,1,13,2011
0,6,227,325,6,6,8,56,,,,29,1.0,1.0,1.0,1,19,2011
0,10,20,491,10,5,4,52,3264.0,28.0,78.0,9,0.0,0.0,0.0,1,4,2011
0,9,5,111,9,4,6,55,,,,3,1.0,1.0,1.0,1,2,2011
0,10,59,447,10,6,6,43,,,,45,0.0,0.0,0.0,1,14,2011
0,5,4,172,5,4,4,56,,,,9,0.0,0.0,0.0,1,4,2011
