,title_length,altmetric,num_times_cited,abstract_length,page_length,fig_count,ref_cnt,mean_author_citations,mean_h_index,mean_i10_index,num_authors,top20,top50,top100,other,num_insitutions,year
0,8,202,410,47,4,4,235,,,,35,0.0,1.0,1.0,1,33,2015
0,13,31,62,41,5,7,56,,,,15,0.0,0.0,0.0,1,5,2015
0,10,47,90,28,5,4,56,,,,9,1.0,1.0,1.0,1,3,2015
0,7,57,46,42,5,9,37,,,,9,1.0,1.0,1.0,1,2,2015
0,9,1438,222,59,4,10,33,,,,4,0.0,0.0,1.0,1,5,2015
0,11,77,89,43,5,6,60,,,,21,1.0,1.0,1.0,1,12,2015
0,5,420,64,57,4,10,21,,,,3,0.0,0.0,0.0,1,5,2015
0,7,126,119,64,5,8,56,,,,8,1.0,1.0,1.0,1,4,2015
0,9,37,83,24,5,10,50,,,,34,0.0,0.0,0.0,1,11,2015
0,8,151,97,40,6,9,54,,,,36,1.0,1.0,1.0,1,16,2015
0,9,145,227,72,5,6,43,,,,14,0.0,0.0,0.0,1,8,2015
0,10,150,122,73,5,7,57,,,,7,0.0,0.0,0.0,1,5,2015
0,8,49,51,43,5,8,55,,,,3,0.0,0.0,0.0,1,1,2015
0,8,39,274,31,6,7,50,,,,7,1.0,1.0,1.0,1,1,2015
0,10,102,39,35,5,8,71,,,,5,1.0,1.0,1.0,1,2,2015
0,9,104,83,33,6,8,51,,,,7,1.0,1.0,1.0,1,2,2015
0,5,193,379,65,5,8,85,,,,16,0.0,0.0,0.0,1,7,2015
0,10,42,123,35,5,9,37,,,,6,0.0,0.0,0.0,1,3,2015
0,9,33,76,42,5,8,71,,,,8,0.0,0.0,0.0,1,2,2015
0,8,818,332,50,4,8,60,,,,38,0.0,1.0,1.0,1,28,2015
0,5,335,74,33,6,6,65,,,,61,1.0,1.0,1.0,1,21,2015
0,9,171,83,44,5,7,39,,,,7,1.0,1.0,1.0,1,3,2015
0,12,63,646,49,4,5,35,,,,15,1.0,1.0,1.0,1,10,2015
0,11,131,52,50,4,5,44,,,,5,0.0,0.0,0.0,1,3,2015
0,13,90,44,37,5,4,58,,,,4,0.0,0.0,0.0,1,3,2015
0,10,62,78,68,6,10,60,,,,19,0.0,0.0,1.0,1,8,2015
0,9,47,111,40,6,9,50,,,,13,1.0,1.0,1.0,1,5,2015
0,11,230,53,44,4,10,29,,,,17,0.0,0.0,0.0,1,8,2015
0,7,251,210,52,5,7,44,,,,32,0.0,0.0,0.0,1,9,2015
0,10,172,191,60,5,10,64,,,,40,0.0,0.0,0.0,1,25,2015
0,6,253,1033,64,6,7,50,,,,54,1.0,1.0,1.0,1,35,2015
0,8,468,149,44,4,7,47,,,,6,0.0,0.0,0.0,1,3,2015
0,9,442,287,60,5,7,49,,,,10,1.0,1.0,1.0,1,4,2015
0,9,55,53,63,4,7,54,,,,5,1.0,1.0,1.0,1,3,2015
0,10,142,302,47,5,8,40,,,,31,1.0,1.0,1.0,1,16,2015
0,10,450,41,46,5,6,69,,,,8,0.0,1.0,1.0,1,3,2015
0,9,855,22,25,4,5,43,,,,6,0.0,0.0,0.0,1,5,2015
0,9,83,98,57,5,6,56,,,,8,0.0,0.0,0.0,1,2,2015
0,9,100,50,30,5,9,70,,,,6,0.0,0.0,0.0,1,2,2015
0,9,109,119,29,6,6,66,,,,12,1.0,1.0,1.0,1,5,2015
0,11,76,131,49,5,4,59,,,,3,0.0,0.0,0.0,1,1,2015
0,10,273,137,47,5,4,50,,,,12,0.0,0.0,0.0,1,5,2015
0,7,591,3030,40,6,9,38,,,,1,1.0,1.0,1.0,1,168,2015
0,8,144,132,76,5,10,52,,,,32,0.0,0.0,0.0,1,3,2015
0,9,92,90,63,4,10,55,,,,22,0.0,0.0,1.0,1,10,2015
0,10,285,550,49,6,6,40,,,,83,1.0,1.0,1.0,1,43,2015
0,9,105,53,35,5,4,62,,,,9,,,,1,5,2015
0,10,48,134,46,5,8,35,,,,2,0.0,0.0,0.0,1,2,2015
0,7,29,121,58,5,9,76,,,,10,0.0,0.0,1.0,1,4,2015
0,10,35,642,34,5,10,32,,,,10,0.0,0.0,0.0,1,4,2015
0,8,250,161,50,6,10,38,,,,27,1.0,1.0,1.0,1,9,2015
0,10,162,174,61,4,10,40,,,,4,1.0,1.0,1.0,1,4,2015
0,9,184,277,52,5,4,60,,,,19,0.0,0.0,1.0,1,7,2015
0,8,100,557,27,5,8,48,,,,25,0.0,0.0,0.0,1,10,2015
0,14,1299,707,78,4,9,20,,,,27,0.0,1.0,1.0,1,14,2015
0,10,215,333,70,8,7,49,,,,1,,,,1,120,2015
0,12,99,175,42,5,4,50,,,,9,0.0,1.0,1.0,1,7,2015
0,10,67,205,57,4,4,58,,,,21,0.0,0.0,0.0,1,5,2015
0,12,27,77,42,4,9,67,,,,7,1.0,1.0,1.0,1,5,2015
0,6,243,140,37,5,8,47,,,,29,0.0,0.0,0.0,1,8,2015
0,7,29,173,32,5,8,63,,,,5,0.0,0.0,0.0,1,3,2015
0,10,81,161,55,5,9,42,,,,14,0.0,0.0,0.0,1,10,2015
0,7,1972,156,51,4,6,31,,,,38,1.0,1.0,1.0,1,25,2015
0,8,30,47,33,5,6,50,,,,3,0.0,0.0,0.0,1,2,2015
0,7,136,348,45,5,8,49,,,,21,0.0,0.0,1.0,1,4,2015
0,8,195,123,39,5,8,98,,,,10,0.0,0.0,0.0,1,8,2015
0,8,183,113,31,5,7,87,,,,20,1.0,1.0,1.0,1,5,2015
0,8,66,22,36,4,7,48,,,,8,0.0,0.0,0.0,1,2,2015
0,6,95,228,15,5,9,51,,,,9,0.0,0.0,0.0,1,2,2015
0,9,97,98,66,5,5,61,,,,8,0.0,0.0,0.0,1,3,2015
0,10,61,599,53,5,7,42,,,,9,0.0,0.0,0.0,1,1,2015
0,5,45,74,54,5,8,64,,,,5,0.0,0.0,0.0,1,2,2015
0,10,93,236,44,5,6,48,,,,5,0.0,0.0,0.0,1,2,2015
0,6,54,306,30,6,9,65,,,,18,1.0,1.0,1.0,1,10,2015
0,9,70,63,25,5,6,44,,,,8,0.0,0.0,0.0,1,2,2015
0,9,59,54,45,4,8,43,,,,6,0.0,0.0,0.0,1,1,2015
0,9,56,99,60,5,5,74,,,,8,0.0,0.0,0.0,1,4,2015
0,11,131,352,63,6,10,96,,,,72,1.0,1.0,1.0,1,28,2015
0,9,157,126,29,4,9,30,,,,9,0.0,0.0,0.0,1,3,2015
0,9,45,44,33,5,8,53,,,,3,0.0,0.0,0.0,1,2,2015
0,11,44,104,18,5,10,74,,,,14,0.0,0.0,0.0,1,6,2015
0,7,147,269,58,5,6,57,,,,57,1.0,1.0,1.0,1,18,2015
0,9,15,59,37,6,4,58,,,,5,0.0,0.0,0.0,1,3,2015
0,10,30,115,49,5,4,63,,,,11,0.0,0.0,0.0,1,5,2015
0,13,209,152,76,5,4,56,,,,22,0.0,0.0,0.0,1,9,2015
0,7,257,178,40,5,6,40,,,,4,0.0,0.0,0.0,1,2,2015
0,8,160,446,37,6,9,50,,,,96,1.0,1.0,1.0,1,60,2015
0,6,79,126,46,4,6,62,,,,19,0.0,1.0,1.0,1,5,2015
0,8,412,210,49,4,4,44,,,,24,1.0,1.0,1.0,1,6,2015
0,12,627,286,44,6,10,91,,,,24,1.0,1.0,1.0,1,17,2015
0,10,93,211,34,5,10,38,,,,21,1.0,1.0,1.0,1,5,2015
0,11,55,93,37,5,5,45,,,,13,0.0,0.0,0.0,1,6,2015
